Unnamed: 0,Producto,Peso,Categoria,Marca,Link,link,PLU,Puntos,EAN
530,Chocolate De Mesa CORONA Clavos Y Canela (450 gr),450 gr,Chocolate,CORONA Y,https://www.exito.com/chocolate-de-mesa-corona-clavos-y-canela-450-gr-3190841/p,https://www.exito.com/chocolate-de-mesa-corona-clavos-y-canela-450-gr-3190841/p,3622453,2.279,7702007084542
531,CAFE AGUILA ROJA (400 gr),400 gr,CAFE,CAFE AGUILA ROJA,https://www.exito.com/cafe-molido-tradicional-aguila-roja-400-gr-3113108/p,https://www.exito.com/cafe-molido-tradicional-aguila-roja-400-gr-3113108/p,3353503,2.393,7702040885052
532,Café COLCAFE capuccino vainilla (270 gr),270 gr,Café,COLCAFE,https://www.exito.com/cappuccino-vainilla-colcafe-270-gr-3156704/p,https://www.exito.com/cappuccino-vainilla-colcafe-270-gr-3156704/p,3517538,3.264,7702032118441
533,Café JUAN VALDEZ Liofilizado clásico doypack (250 gr),250 gr,Café,JUAN VALDEZ,https://www.exito.com/cafe-soluble-clasico-juan-valdez-250-gr-3061408/p,https://www.exito.com/cafe-soluble-clasico-juan-valdez-250-gr-3061408/p,3173073,7.386,7707211631964
534,Café Nescafé DOLCA Soluble ahorra pack (247 gr),247 gr,Café,DOLCA,https://www.exito.com/cafe-dolca-nescafe-247-gr-3047129/p,https://www.exito.com/cafe-dolca-nescafe-247-gr-3047129/p,3128770,4.121,7702024245339
535,Chocolate de mesa TESALIA clavos y canela sin azúcar (250 gr),250 gr,Chocolate,TESALIA,https://www.exito.com/chocolate-puro-x-250-gr-64851/p,https://www.exito.com/chocolate-puro-x-250-gr-64851/p,21948,2.571,7702007061734
536,Café LA BASTILLA tostado y molido (2500 gr),2500 gr,Café,LA BASTILLA,https://www.exito.com/cafe-tostado-y-molido-medio-x-2500-gr-50281/p,https://www.exito.com/cafe-tostado-y-molido-medio-x-2500-gr-50281/p,13467,12.743,7703114201525
537,Café LUKAFE tostado y molido (400 gr),400 gr,Café,LUKAFE,https://www.exito.com/cafe-lukafe-cafe-tostado-y-molido-400-gr-3182894/p,https://www.exito.com/cafe-lukafe-cafe-tostado-y-molido-400-gr-3182894/p,3589019,2.557,7702088215552
538,Cafe TOSTAO Tostado y Molido (200 gr),200 gr,Cafe,TOSTAO,https://www.exito.com/cafe-tostao-tostado-y-molido-200-gr-3178995/p,https://www.exito.com/cafe-tostao-tostado-y-molido-200-gr-3178995/p,3576786,1.117,7708024204758
539,Café OMA Excelso En Grano (500 gr),500 gr,Café,OMA,https://www.exito.com/cafe-excelso-en-grano-500-gr-611640/p,https://www.exito.com/cafe-excelso-en-grano-500-gr-611640/p,515961,6.514,7702747000024
